RowID,Contents,Parents,Color
plaidblue,"((""darkbrown"", 2),(""drabgray"", 5),(""plaidolive"", 5),(""darkaqua"", 1))","(""plaidlime"")","(B=161,G=129,R=169,A=255)"
palered,"((""clearaqua"", 5),(""dimturquoise"", 2),(""drabgray"", 5),(""fadedturquoise"", 4))","(""plaidbeige"",""clearcrimson"",""lightpurple"")","(B=73,G=214,R=158,A=255)"
wavyfuchsia,"((""dulllime"", 2),(""drabfuchsia"", 1),(""drabindigo"", 3))","(""dimblack"")","(B=138,G=230,R=163,A=255)"
drabgold,"((""brightsalmon"", 4),(""shinyfuchsia"", 2),(""fadedlime"", 4),(""plaidmagenta"", 5))",,"(B=237,G=185,R=116,A=255)"
palelavender,"((""wavybeige"", 1),(""stripedolive"", 2))",,"(B=248,G=141,R=25,A=255)"
mutedolive,"((""stripedfuchsia"", 5),(""drabsilver"", 1),(""dottedlavender"", 3))","(""paleolive"",""lightbeige"",""shinyteal"",""dimbronze"",""dimlime"",""clearblue"")","(B=208,G=205,R=39,A=255)"
shinymagenta,"((""clearorange"", 3),(""plaidsilver"", 2),(""brightturquoise"", 5),(""shinyorange"", 4))","(""plaidmaroon"")","(B=1,G=42,R=31,A=255)"
mutedblue,"((""darkgray"", 3),(""drabblue"", 3),(""darkgold"", 4),(""brighttomato"", 5))",,"(B=35,G=252,R=154,A=255)"
dottedred,"((""stripedplum"", 4),(""shinyaqua"", 5),(""clearred"", 2))","(""dullcoral"")","(B=220,G=14,R=160,A=255)"
vibranttomato,"((""wavywhite"", 3),(""mirroredlime"", 1),(""darkfuchsia"", 1))",,"(B=197,G=247,R=48,A=255)"
dullsilver,"((""poshblack"", 4),(""darkgray"", 3),(""paleplum"", 3))","(""plaidorange"")","(B=81,G=124,R=135,A=255)"
darkchartreuse,"((""dullblue"", 3),(""dimtan"", 1))","(""darkolive"")","(B=133,G=46,R=190,A=255)"
cleargold,"((""mutedmagenta"", 3),(""dimteal"", 3),(""vibrantolive"", 4),(""vibrantsalmon"", 1))","(""wavycoral"")","(B=126,G=197,R=199,A=255)"
poshteal,"((""wavyred"", 4))","(""darktomato"")","(B=222,G=215,R=15,A=255)"
paleblue,"((""dimred"", 1),(""clearsilver"", 4),(""dullsalmon"", 2),(""vibrantsalmon"", 4))","(""dulllavender"",""wavyolive"",""dullblack"",""shinypurple"")","(B=166,G=158,R=112,A=255)"
dottedgray,"((""vibrantbronze"", 4),(""darkmaroon"", 4),(""mutedlavender"", 4))","(""dimred"",""fadedturquoise"",""dottedbrown"",""wavymaroon"",""brightgray"",""dimlime"")","(B=66,G=95,R=59,A=255)"
dottedmagenta,"((""dullpurple"", 2),(""dimgold"", 4),(""drabgray"", 5),(""fadedbronze"", 4))","(""wavyyellow"")","(B=246,G=227,R=106,A=255)"
fadedgold,"((""clearblack"", 2),(""paletomato"", 3),(""wavyaqua"", 3))",,"(B=67,G=171,R=206,A=255)"
lightturquoise,"((""brighttan"", 2),(""mutedchartreuse"", 2))",,"(B=144,G=96,R=100,A=255)"
mutedgreen,"((""mutedgold"", 4),(""poshblack"", 4),(""stripedfuchsia"", 1),(""dottedblue"", 1))","(""poshsilver"",""clearmagenta"",""clearpurple"",""fadedred"")","(B=79,G=47,R=162,A=255)"
lightbeige,"((""mutedolive"", 5))","(""darkindigo"",""paleorange"")","(B=105,G=194,R=115,A=255)"
stripedbrown,"((""brightwhite"", 4),(""paleteal"", 1))","(""dullchartreuse"",""mirroredfuchsia"",""vibrantbeige"")","(B=113,G=47,R=149,A=255)"
vibrantblue,"((""clearaqua"", 4),(""stripedgreen"", 2),(""fadedindigo"", 1))","(""poshlime"",""stripedcoral"")","(B=191,G=210,R=175,A=255)"
dimpurple,"((""brightcoral"", 4),(""poshyellow"", 2))","(""dottedsalmon"")","(B=71,G=214,R=111,A=255)"
dimaqua,"((""fadedplum"", 3),(""dimred"", 2))","(""poshpurple"",""palechartreuse"",""dottedaqua"")","(B=82,G=142,R=47,A=255)"
clearsalmon,"((""drabgray"", 2),(""mirroredcyan"", 1))","(""vibrantcyan"",""stripedbeige"")","(B=222,G=120,R=242,A=255)"
plaidtan,"((""mutedyellow"", 5),(""brightbrown"", 1))","(""mutedtan"",""lightcoral"",""plaidcyan"",""dimviolet"",""brightgray"")","(B=69,G=189,R=135,A=255)"
stripedgreen,"((""drabcyan"", 2),(""dimgray"", 5))","(""palebeige"",""vibrantblue"",""plaidlavender"",""fadedgreen"")","(B=10,G=147,R=237,A=255)"
darkgray,"((""mutedteal"", 3),(""clearviolet"", 1),(""brightcyan"", 5))","(""mutedblue"",""dullsilver"",""plaidaqua"")","(B=212,G=103,R=72,A=255)"
clearlavender,"((""darkred"", 1),(""wavyblue"", 1),(""plaidsilver"", 2))","(""plaidmagenta"",""plaidviolet"")","(B=59,G=35,R=179,A=255)"
vibrantgold,"((""darkbrown"", 5))","(""plaidmagenta"",""dullindigo"",""wavycrimson"")","(B=166,G=249,R=158,A=255)"
drabindigo,"((""wavyaqua"", 3),(""mirroredindigo"", 3),(""dullbrown"", 5))","(""wavyfuchsia"")","(B=161,G=111,R=113,A=255)"
lightwhite,"((""dullplum"", 2),(""draborange"", 2))","(""palecyan"",""wavyturquoise"",""mutedteal"",""shinyindigo"")","(B=20,G=242,R=223,A=255)"
poshorange,"((""wavyplum"", 4),(""poshtan"", 2),(""brightblue"", 1),(""mutedred"", 4))","(""mirroredblack"")","(B=178,G=166,R=157,A=255)"
drabred,"((""mirroredmaroon"", 2),(""lightcoral"", 4))",,"(B=142,G=36,R=81,A=255)"
mutedsilver,"((""mutedmaroon"", 5),(""clearfuchsia"", 3),(""darkgold"", 3))","(""shinyolive"",""clearcyan"")","(B=122,G=43,R=21,A=255)"
plaidolive,"((""poshred"", 1),(""palecrimson"", 1),(""shinytomato"", 5))","(""shinyolive"",""drabbeige"",""plaidblue"",""dottedblack"",""mirroredcoral"")","(B=212,G=52,R=58,A=255)"
lighttan,"((""dullbronze"", 1),(""dimlavender"", 2))","(""stripedyellow"")","(B=222,G=49,R=213,A=255)"
plaidwhite,"((""dimturquoise"", 3))","(""fadedplum"",""vibrantblack"")","(B=173,G=161,R=195,A=255)"
paleaqua,"((""vibrantcrimson"", 1),(""stripedsilver"", 3),(""brightlavender"", 3),(""shinywhite"", 3))",,"(B=205,G=252,R=201,A=255)"
brighttomato,"((""drabpurple"", 5),(""shinyblack"", 1),(""wavyturquoise"", 4))","(""shinysilver"",""mutedblue"",""wavybeige"")","(B=183,G=204,R=32,A=255)"
dottedgreen,"((""dimcyan"", 3),(""fadedviolet"", 4))","(""mirroredorange"",""dottedchartreuse"",""palecrimson"",""drabolive"",""brightturquoise"",""plaidsalmon"",""brightbrown"")","(B=178,G=90,R=222,A=255)"
fadedsilver,"((""shinyviolet"", 1),(""fadedlavender"", 5))",,"(B=1,G=120,R=222,A=255)"
vibrantcyan,"((""brightgreen"", 1),(""mutedteal"", 4),(""clearsalmon"", 3))","(""dottedfuchsia"")","(B=194,G=165,R=108,A=255)"
mirroredblue,"((""mutedteal"", 2),(""poshcrimson"", 4),(""dimindigo"", 2),(""clearblack"", 1))","(""lightcrimson"",""dullchartreuse"",""paletomato"")","(B=251,G=91,R=95,A=255)"
fadedolive,"((""fadedfuchsia"", 3),(""dottedmaroon"", 3),(""wavyred"", 5),(""plaidchartreuse"", 4))","(""brightred"")","(B=187,G=153,R=19,A=255)"
stripedlavender,"((""vibrantsalmon"", 2),(""brightblack"", 5),(""dullblue"", 5))",,"(B=0,G=28,R=27,A=255)"
brightgreen,"((""mutedmaroon"", 2),(""dimorange"", 3))","(""vibrantcyan"")","(B=68,G=206,R=125,A=255)"
stripedteal,"((""lightbrown"", 4),(""plaidbrown"", 5),(""clearturquoise"", 4))",,"(B=47,G=118,R=36,A=255)"
poshyellow,"((""paleteal"", 1),(""darkcrimson"", 5))","(""lightsalmon"",""darkteal"",""dimpurple"")","(B=20,G=44,R=13,A=255)"
clearcyan,"((""mutedsilver"", 1),(""shinywhite"", 5),(""dottedwhite"", 4),(""stripedfuchsia"", 2))",,"(B=161,G=223,R=102,A=255)"
drabtan,"((""vibrantbronze"", 3),(""palewhite"", 1))","(""wavycoral"",""lightblack"")","(B=217,G=56,R=107,A=255)"
mutedchartreuse,"((""clearwhite"", 1),(""shinyviolet"", 1),(""brightfuchsia"", 5))","(""lightfuchsia"",""lightturquoise"")","(B=120,G=10,R=118,A=255)"
drabaqua,"((""mirroredtan"", 3))",,"(B=247,G=116,R=97,A=255)"
vibrantgray,"((""mirroredsalmon"", 2),(""dottedbrown"", 3),(""wavymaroon"", 3),(""shinymaroon"", 4))",,"(B=126,G=149,R=176,A=255)"
fadedteal,"((""drabgray"", 2),(""dimgold"", 1),(""draborange"", 4),(""clearviolet"", 5))","(""poshindigo"",""shinycyan"",""clearteal"",""dimcoral"",""wavywhite"")","(B=66,G=141,R=194,A=255)"
wavyred,"((""drabcoral"", 4),(""dottedlavender"", 4),(""dimturquoise"", 5))","(""paletan"",""poshteal"",""fadedolive"",""vibrantsalmon"",""shinyyellow"",""dullbronze"",""darkgreen"",""brightbrown"")","(B=218,G=43,R=140,A=255)"
dullwhite,"((""mirroredgreen"", 3),(""dimturquoise"", 5))","(""brightlime"",""drabviolet"")","(B=64,G=173,R=56,A=255)"
dottedchartreuse,"((""dottedgreen"", 1),(""dullblue"", 4),(""stripedindigo"", 1),(""dimtomato"", 5))","(""wavyyellow"",""palegreen"")","(B=226,G=202,R=172,A=255)"
poshmaroon,"((""dullsalmon"", 2),(""clearbronze"", 5),(""brightcyan"", 5),(""clearsilver"", 5))","(""vibrantcrimson"",""clearlime"")","(B=7,G=188,R=226,A=255)"
fadedwhite,"((""drabgray"", 4),(""dimgray"", 4))","(""stripedblack"",""vibrantred"",""brightmaroon"",""poshblack"")","(B=239,G=36,R=219,A=255)"
stripedblack,"((""brightsalmon"", 1),(""fadedwhite"", 3),(""darkmagenta"", 3),(""mutedplum"", 1))",,"(B=65,G=196,R=140,A=255)"
stripedindigo,"((""shinytomato"", 3),(""mirroredolive"", 2))","(""stripedaqua"",""wavycyan"",""dottedchartreuse"",""brightlime"",""poshlavender"",""darksalmon"")","(B=233,G=132,R=50,A=255)"
stripedwhite,"((""vibrantmaroon"", 4))","(""dullolive"")","(B=163,G=18,R=78,A=255)"
dimgray,"((""dullgold"", 2))","(""mirroredindigo"",""poshsilver"",""mirroredorange"",""stripedgray"",""stripedgreen"",""fadedwhite"",""lightpurple"",""poshgray"",""dullpurple"",""palebrown"",""mirroredbrown"",""fadedbronze"")","(B=252,G=50,R=206,A=255)"
fadedcoral,"((""mirroredlavender"", 5),(""vibrantplum"", 2))",,"(B=200,G=158,R=9,A=255)"
mirroredtomato,"((""lightyellow"", 5),(""draborange"", 2))","(""stripedplum"")","(B=244,G=192,R=39,A=255)"
dottedtan,"((""poshplum"", 2),(""paleteal"", 2),(""palemaroon"", 2))",,"(B=252,G=184,R=33,A=255)"
dottedturquoise,"((""mirroredcrimson"", 5),(""dullorange"", 2))","(""lightcyan"",""plaidbeige"",""palefuchsia"")","(B=154,G=10,R=147,A=255)"
dimyellow,"((""brightcyan"", 2),(""dimturquoise"", 3),(""mirroredgreen"", 2))","(""shinybeige"",""plaidpurple"",""stripedblue"",""darksalmon"")","(B=121,G=73,R=11,A=255)"
vibrantcrimson,"((""poshmaroon"", 5))","(""paleaqua"",""mutedcyan"")","(B=7,G=73,R=24,A=255)"
palecrimson,"((""clearblack"", 4),(""dullcrimson"", 5),(""dottedgreen"", 5))","(""dottedsilver"",""plaidolive"",""clearfuchsia"",""dottedyellow"")","(B=189,G=124,R=208,A=255)"
lightindigo,"((""clearblack"", 3))","(""poshblue"",""dullbeige"",""dulltomato"",""vibrantfuchsia"")","(B=45,G=211,R=95,A=255)"
plaidcyan,"((""plaidtan"", 3),(""drabcoral"", 3))","(""poshplum"",""lightchartreuse"")","(B=66,G=163,R=160,A=255)"
drabbronze,"((""dullteal"", 5),(""plaidcoral"", 3),(""fadedbeige"", 2),(""plaidaqua"", 4))",,"(B=48,G=172,R=87,A=255)"
draborange,"((""mirroredgreen"", 1))","(""lightwhite"",""fadedteal"",""mirroredtomato"",""darkcrimson"",""shinytomato"",""wavywhite"")","(B=126,G=154,R=151,A=255)"
mirroredlime,"((""shinygray"", 1),(""dimindigo"", 3))","(""palechartreuse"",""vibranttomato"",""mutedbronze"",""plaidbrown"")","(B=60,G=200,R=42,A=255)"
poshaqua,"((""mutedtan"", 4),(""fadedyellow"", 2))",,"(B=61,G=193,R=138,A=255)"
lightpurple,"((""shinychartreuse"", 2),(""dimgray"", 2),(""palered"", 5))","(""vibrantindigo"")","(B=111,G=54,R=115,A=255)"
dullteal,"((""poshcrimson"", 3),(""dottedblue"", 1),(""mutedyellow"", 3))","(""palebronze"",""drabbronze"",""mutedfuchsia"",""brightblack"")","(B=209,G=181,R=169,A=255)"
vibrantred,"((""fadedwhite"", 4),(""dimtan"", 5),(""shinylavender"", 4),(""dimturquoise"", 1))","(""poshmagenta"",""dottedorange"",""fadedchartreuse"",""brightindigo"",""darkcrimson"",""fadedorange"",""fadedbeige"",""mutedfuchsia"",""palemagenta"")","(B=255,G=57,R=96,A=255)"
dullcyan,"((""dottedsilver"", 1),(""stripedolive"", 5),(""fadedgray"", 5),(""darkgreen"", 1))","(""dullgray"",""plaidindigo"")","(B=20,G=68,R=161,A=255)"
dimcrimson,"((""poshlime"", 1),(""darksalmon"", 1))",,"(B=70,G=85,R=152,A=255)"
lightviolet,"((""poshbrown"", 5))",,"(B=146,G=44,R=46,A=255)"
clearorange,"((""lightolive"", 2),(""fadedturquoise"", 4),(""drabgray"", 4),(""mirroredolive"", 2))","(""shinymagenta"")","(B=92,G=18,R=94,A=255)"
dottedcrimson,"((""palemagenta"", 4),(""mutedred"", 5),(""shinyyellow"", 4))","(""dottedfuchsia"",""plaidgold"")","(B=99,G=59,R=215,A=255)"
poshgray,"((""dulllavender"", 4),(""dimgray"", 4))","(""clearmagenta"")","(B=85,G=132,R=17,A=255)"
fadedtomato,"((""stripedsalmon"", 3),(""brightlime"", 1),(""vibrantmagenta"", 4))","(""mutedviolet"",""plaidmaroon"")","(B=48,G=101,R=92,A=255)"
clearbronze,"((""brightplum"", 5),(""dimbeige"", 1),(""dimcyan"", 1),(""dottedblue"", 5))","(""poshmaroon"",""cleargreen"",""wavyblack"",""stripedbronze"",""poshwhite"",""darkorange"")","(B=161,G=99,R=250,A=255)"
clearfuchsia,"((""vibrantolive"", 3),(""palecrimson"", 3),(""wavymaroon"", 4),(""drabolive"", 4))","(""mutedsilver"",""wavymagenta"")","(B=195,G=188,R=101,A=255)"
brightviolet,"((""fadedblue"", 3))","(""mutedtomato"",""shinycoral"",""brightbeige"",""shinytan"")","(B=112,G=87,R=44,A=255)"
mutedbrown,"((""mutedlavender"", 1))","(""vibrantolive"",""darkcoral"",""fadedplum"",""shinyfuchsia"")","(B=254,G=83,R=236,A=255)"
fadedturquoise,"((""dullgold"", 3),(""mutedorange"", 3),(""lightblue"", 4),(""dottedgray"", 1))","(""mutedlime"",""palered"",""clearorange"",""mirroredplum"",""wavytan"",""drabblack"",""dullblack"",""dulltan"",""clearturquoise"")","(B=5,G=101,R=223,A=255)"
dimindigo,"((""mutedmaroon"", 5))","(""mirroredblue"",""mirroredlime"",""mirroredlavender"",""stripedlime"",""vibrantplum"")","(B=26,G=252,R=220,A=255)"
plaidblack,"((""plaidteal"", 4),(""vibrantgreen"", 5))",,"(B=32,G=40,R=221,A=255)"
dullpurple,"((""shinygold"", 2),(""dimgray"", 4))","(""mirroredcyan"",""dottedmagenta"")","(B=2,G=245,R=116,A=255)"
dullcrimson,"((""dullgold"", 1),(""vibrantaqua"", 4))","(""lightteal"",""fadedyellow"",""mirroredgray"",""darkcoral"",""palecrimson"",""vibrantorange"",""stripedtan"",""wavytan"",""shinytomato"",""drabsilver"",""mirroredwhite"",""dimmaroon"",""wavychartreuse"",""wavyblue"")","(B=41,G=92,R=103,A=255)"
lightaqua,"((""mirroredorange"", 5),(""wavyaqua"", 4))","(""darkgold"",""stripedlime"")","(B=145,G=2,R=107,A=255)"
palelime,"((""drabcoral"", 4),(""vibrantchartreuse"", 3),(""poshcrimson"", 4))","(""wavycoral"",""dottedsilver"")","(B=14,G=4,R=83,A=255)"
fadedplum,"((""mutedbrown"", 1),(""dullbronze"", 4),(""plaidwhite"", 1),(""drabblue"", 1))","(""mirroredcyan"",""stripedgray"",""dimaqua"",""poshsalmon"",""shinycyan"",""darkplum"",""dullolive"")","(B=79,G=71,R=231,A=255)"
clearsilver,"((""mutedgray"", 4),(""mirroredmaroon"", 5),(""clearviolet"", 1))","(""paleblue"",""poshmaroon"",""paletomato"",""clearplum"")","(B=38,G=57,R=230,A=255)"
lightbrown,"((""shinymaroon"", 4),(""drablavender"", 1),(""darkviolet"", 5),(""dullgreen"", 4))","(""stripedteal"",""dimolive"")","(B=64,G=174,R=159,A=255)"
lightcrimson,"((""lightmagenta"", 4),(""mirroredblue"", 3),(""paletomato"", 1),(""mutedtomato"", 1))",,"(B=216,G=34,R=136,A=255)"
plaidorange,"((""dullsilver"", 4))",,"(B=201,G=215,R=94,A=255)"
mutedblack,"((""dulltomato"", 2),(""mirroredteal"", 5))","(""palefuchsia"")","(B=77,G=30,R=20,A=255)"
dottedbronze,"((""dimtan"", 4))","(""cleargreen"")","(B=34,G=83,R=182,A=255)"
drabtomato,"((""mutedlime"", 4),(""stripedcyan"", 2))",,"(B=214,G=90,R=248,A=255)"
clearindigo,"((""dulllavender"", 5),(""darkindigo"", 4))",,"(B=130,G=6,R=155,A=255)"
palepurple,"((""dimbeige"", 5),(""shinytomato"", 5),(""mirroredolive"", 3),(""mutedlavender"", 5))","(""vibrantyellow"",""darkviolet"",""dimlavender"",""fadedchartreuse"",""lightgray"",""darkcrimson"",""drabmaroon"")","(B=200,G=152,R=25,A=255)"
mirroredsilver,"((""vibrantmaroon"", 4))",,"(B=139,G=178,R=226,A=255)"
brightaqua,"((""brightolive"", 5),(""drabmagenta"", 2),(""dimteal"", 2))","(""mutedcyan"",""paleorange"")","(B=218,G=39,R=212,A=255)"
wavymagenta,"((""clearfuchsia"", 3),(""mirroredgray"", 3),(""dullfuchsia"", 4))",,"(B=121,G=65,R=246,A=255)"
dullblue,"((""drabcoral"", 5),(""drabchartreuse"", 5))","(""darkchartreuse"",""stripedlavender"",""dottedchartreuse"",""drabolive"",""darkaqua"",""clearwhite"")","(B=165,G=27,R=122,A=255)"
dimplum,"((""mutedmagenta"", 1),(""shinylavender"", 3))",,"(B=93,G=110,R=252,A=255)"
mutedbronze,"((""poshwhite"", 3),(""clearblack"", 5),(""mirroredlime"", 3))","(""dottedtomato"")","(B=91,G=238,R=123,A=255)"
drabcyan,"((""drabblue"", 1))","(""darkmagenta"",""stripedsalmon"",""stripedgreen"",""brightlavender"",""plaidlavender"")","(B=112,G=69,R=234,A=255)"
fadedtan,"((""paleplum"", 4))","(""vibrantolive"",""darkolive"")","(B=141,G=211,R=215,A=255)"
poshviolet,"((""dimsilver"", 2))",,"(B=180,G=12,R=60,A=255)"
poshblue,"((""clearyellow"", 5),(""lightindigo"", 3))","(""plaidfuchsia"")","(B=54,G=249,R=54,A=255)"
mutedorange,"((""drabgray"", 5),(""dimturquoise"", 1))","(""fadedblue"",""drabfuchsia"",""cleartan"",""stripedturquoise"",""fadedturquoise"",""shinyteal"",""clearlime"",""brightolive"",""shinylavender"",""dottedblue"",""wavychartreuse"",""vibrantchartreuse"")","(B=117,G=203,R=15,A=255)"
brightlavender,"((""drabcyan"", 1))","(""paleaqua"")","(B=115,G=32,R=6,A=255)"
clearbrown,"((""shinyteal"", 2))",,"(B=149,G=78,R=140,A=255)"
lightmaroon,"((""dimfuchsia"", 4),(""lightyellow"", 1),(""palemagenta"", 3))","(""stripedmaroon"")","(B=99,G=30,R=80,A=255)"
mutedindigo,"((""shinygold"", 4),(""clearteal"", 1),(""lightgray"", 4),(""shinyorange"", 2))","(""brightyellow"",""brightgold"",""mutedfuchsia"",""dottedteal"")","(B=77,G=108,R=119,A=255)"
stripedred,"((""wavyblue"", 4),(""vibrantmaroon"", 1),(""shinyyellow"", 5))","(""brightgold"")","(B=170,G=8,R=178,A=255)"
drabolive,"((""dullblue"", 2),(""palecoral"", 5),(""vibrantsalmon"", 1),(""dottedgreen"", 1))","(""brightred"",""mirroredgold"",""clearfuchsia"",""dottedaqua"",""dottedmaroon"",""dottedyellow"")","(B=10,G=195,R=3,A=255)"
dottedaqua,"((""dimaqua"", 5),(""drabolive"", 1),(""dimviolet"", 5),(""lightplum"", 2))","(""clearmagenta"",""poshfuchsia"",""plaidcoral"")","(B=212,G=149,R=58,A=255)"
dullindigo,"((""vibrantgold"", 5))","(""dottedsalmon"",""shinyred"")","(B=252,G=214,R=111,A=255)"
drabturquoise,"((""palesalmon"", 3),(""shinyviolet"", 1),(""shinyorange"", 1),(""mirroredolive"", 1))","(""dottedbeige"")","(B=190,G=107,R=155,A=255)"
brightturquoise,"((""dottedgreen"", 1))","(""shinymagenta"",""vibrantbrown"",""stripedcoral"")","(B=218,G=137,R=141,A=255)"
brighttan,"((""fadedcyan"", 5),(""mirroredaqua"", 5),(""dimorange"", 3))","(""lightturquoise"")","(B=232,G=78,R=236,A=255)"
brightchartreuse,"((""dimbronze"", 1),(""poshbronze"", 3),(""drabsalmon"", 3))",,"(B=104,G=28,R=205,A=255)"
vibrantorange,"((""dimfuchsia"", 3),(""dullcrimson"", 3),(""vibrantsalmon"", 5))","(""stripedsalmon"",""shinycrimson"",""stripedolive"",""vibrantlavender"")","(B=124,G=80,R=176,A=255)"
brightlime,"((""poshtomato"", 3),(""stripedindigo"", 4),(""dullwhite"", 1),(""lightplum"", 2))","(""stripedgold"",""shinyviolet"",""fadedtomato"",""poshgreen"",""drabplum"",""shinygreen"",""darkred"")","(B=169,G=24,R=227,A=255)"
darkblack,"((""mutedaqua"", 1))",,"(B=239,G=51,R=110,A=255)"
palesilver,"((""dullfuchsia"", 2),(""darkmaroon"", 2))","(""darkbeige"",""shinychartreuse"")","(B=48,G=190,R=223,A=255)"
dottedmaroon,"((""drabolive"", 2))","(""darkmagenta"",""dimteal"",""brightwhite"",""fadedolive"",""vibrantviolet"")","(B=46,G=192,R=238,A=255)"
shinygold,"((""dimbeige"", 2),(""darkmaroon"", 1),(""lightblue"", 4))","(""paleyellow"",""dimgold"",""dullsalmon"",""dullpurple"",""mutedindigo"",""poshcoral"")","(B=49,G=187,R=224,A=0)"
poshlime,"((""shinygreen"", 1),(""drabpurple"", 3),(""vibrantblue"", 3))","(""dimcrimson"",""shinyblue"")","(B=62,G=180,R=71,A=255)"
vibrantviolet,"((""dimsilver"", 5),(""dottedmaroon"", 4),(""drabfuchsia"", 5),(""clearplum"", 5))",,"(B=72,G=210,R=246,A=255)"
brightsilver,"((""drabcoral"", 2),(""mirroredred"", 5),(""drabfuchsia"", 5))","(""stripedbronze"",""mirroredchartreuse"",""mutedbeige"",""plaidlime"",""dottedcoral"")","(B=253,G=97,R=4,A=255)"
darkpurple,"((""drabchartreuse"", 1),(""poshlavender"", 1),(""clearblue"", 1))","(""lightmagenta"",""poshturquoise"")","(B=61,G=111,R=3,A=255)"
lightgreen,"((""darkplum"", 1),(""dullolive"", 5),(""shinylavender"", 4))",,"(B=38,G=204,R=88,A=255)"
dullbeige,"((""lightindigo"", 5))","(""shinywhite"",""clearmaroon"",""clearwhite"")","(B=210,G=255,R=21,A=255)"
mutedgold,"((""mirroredmagenta"", 2),(""shinyorange"", 5),(""drablavender"", 5))","(""mutedgreen"",""mirroredfuchsia"")","(B=62,G=239,R=139,A=255)"
plaidgold,"((""darkcrimson"", 4),(""dottedcrimson"", 3))","(""dottedolive"")","(B=42,G=115,R=118,A=255)"
plaidsilver,"((""dottedblue"", 2),(""vibrantaqua"", 1),(""shinychartreuse"", 2))","(""shinymagenta"",""clearlavender"",""lightmagenta"",""shinycrimson"")","(B=65,G=122,R=124,A=255)"
vibrantgreen,"((""poshbrown"", 5),(""lightgray"", 3),(""wavyblue"", 2))","(""dimmagenta"",""shinygray"",""plaidblack"",""paleblack"",""paleteal"")","(B=192,G=244,R=144,A=255)"
poshcrimson,"((""dimturquoise"", 2),(""dimtan"", 3),(""dottedlavender"", 4))","(""drabchartreuse"",""mutedlavender"",""mirroredblue"",""dullteal"",""palelime"",""poshbrown"",""mutedteal"",""mirroredolive"")","(B=209,G=217,R=31,A=255)"
brightcoral,"((""fadedchartreuse"", 1))","(""palecyan"",""dimpurple"",""mutedplum"",""dottedbrown"",""wavyteal"")","(B=14,G=208,R=146,A=255)"
shinyteal,"((""mutedorange"", 2),(""mutedolive"", 5),(""mirroredolive"", 5))","(""shinyplum"",""clearbrown"",""mirroredpurple"")","(B=209,G=238,R=24,A=255)"
poshbrown,"((""poshcrimson"", 4))","(""lightteal"",""plaidtomato"",""clearviolet"",""fadedyellow"",""lightviolet"",""vibrantgreen"",""dullaqua"",""palemaroon"")","(B=73,G=216,R=41,A=255)"
palewhite,"((""darkcoral"", 5),(""dimtomato"", 3),(""wavyindigo"", 3))","(""drabtan"")","(B=136,G=35,R=61,A=255)"
clearolive,"((""brightplum"", 1))",,"(B=107,G=221,R=253,A=255)"
dottedviolet,"((""poshplum"", 3))","(""lightfuchsia"",""cleargreen"",""wavybeige"")","(B=2,G=249,R=0,A=255)"
vibrantsalmon,"((""dimbeige"", 3),(""lightgray"", 2),(""wavyred"", 2),(""dullbrown"", 5))","(""cleargold"",""paleblue"",""stripedlavender"",""drabolive"",""vibrantorange"",""dottedwhite"",""mirroredteal"")","(B=42,G=3,R=177,A=255)"
dottedindigo,"((""dullmaroon"", 1))",,"(B=219,G=101,R=109,A=255)"
clearlime,"((""poshmaroon"", 5),(""mutedcoral"", 1),(""wavymaroon"", 5),(""mutedorange"", 3))","(""mirroredyellow"")","(B=138,G=44,R=27,A=255)"
poshcyan,"((""poshblack"", 3),(""drabblack"", 4))",,"(B=122,G=103,R=141,A=255)"
stripedblue,"((""dimyellow"", 5),(""wavychartreuse"", 1))","(""palegray"")","(B=7,G=65,R=214,A=255)"
darkcyan,"((""fadedblue"", 1))","(""poshindigo"",""shinyturquoise"",""cleargray"",""darkturquoise"",""drablime"",""brightsalmon"",""lightlavender"")","(B=44,G=56,R=34,A=255)"
clearmagenta,"((""mutedgreen"", 3),(""dottedaqua"", 5),(""poshgray"", 2))",,"(B=55,G=219,R=130,A=255)"
dulllime,"((""dottedlavender"", 4),(""dimcyan"", 3),(""dimtan"", 4))","(""clearaqua"",""wavyfuchsia"",""clearcoral"",""vibrantbeige"")","(B=22,G=98,R=93,A=255)"
palebrown,"((""dimgray"", 3))","(""wavygreen"",""darkblue"",""dullyellow"",""poshchartreuse"",""drabmaroon"",""mutedbeige"")","(B=43,G=11,R=29,A=255)"
dullviolet,"((""poshtomato"", 2),(""clearblue"", 2),(""drabsilver"", 2),(""mutedgray"", 4))","(""mirroredplum"",""poshlavender"",""wavylavender"")","(B=185,G=86,R=25,A=255)"
darktan,"((""dimcyan"", 2),(""dottedlavender"", 4))","(""posholive"",""stripedpurple"")","(B=111,G=133,R=95,A=255)"
dottedblack,"((""plaidolive"", 3),(""poshplum"", 3),(""wavyturquoise"", 3),(""mutedteal"", 5))","(""paleyellow"",""stripedtan"",""poshgreen"")","(B=110,G=115,R=191,A=255)"
mutedcyan,"((""shinytan"", 2),(""brightaqua"", 1),(""dottedlavender"", 4),(""vibrantcrimson"", 3))",,"(B=27,G=137,R=188,A=255)"
cleargreen,"((""dottedviolet"", 1),(""dottedbronze"", 3),(""clearbronze"", 1))",,"(B=204,G=194,R=155,A=255)"
