ID,Min,Max,Letter,Password
722,13,14,v,vvvvvvvvvvvvvgv
723,3,7,n,hnjnnnnnsnfp
724,3,8,m,mtmjhrzzllqml
725,9,11,w,wwwwwwwwwwxw
726,10,20,g,pkvgkfvmxgkpjjhtqvcg
727,8,11,w,wwwwwwzwwwdw
728,5,7,r,rrrrrrb
729,2,7,b,sbldlwvcb
730,10,17,v,vvvvvvqgcvvkdvsvvjv
731,4,5,d,tkddnddzqpdfdddd
732,10,12,p,npppppppppfm
733,1,12,t,wttttttttttttt
734,4,5,f,qfffz
735,11,14,p,ppppppppppppgvpcp
736,6,8,w,qswwwrwwmww
737,9,15,g,txgchzlpgggdhgggbg
738,2,10,h,hthhzhhhshhh
739,5,8,l,lllllzkk
740,17,18,l,nlllllllllllllllvll
741,3,6,c,zdwcjcccdqct
742,8,17,m,mmmmmmmmmmmmmmmmjm
743,10,12,c,ccccncrccccb
744,4,12,j,jjjbjjjjjjnwjj
745,2,6,h,chbhhfc
746,5,6,c,cccpncc
747,6,7,m,dmwmkmphmmdmm
748,6,7,k,rxwkmkv
749,1,5,f,fzgfl
750,4,7,x,dxkmxhb
751,1,5,f,hhfzfpfffffsff
752,1,7,s,sssslsvv
753,3,7,w,wgwwwsh
754,12,15,d,mdsdbkltdvthvfjdddn
755,16,18,x,xxxxxxxxxxxxxxxxtl
756,5,19,x,xwxxxxxxxxxxxxxxbpn
757,3,5,h,hhrfh
758,8,10,g,ggggggggggkgg
759,3,8,c,cccccccmc
760,5,7,r,wrrrxrrr
761,7,8,p,phpprdslbpxprpg
762,17,19,z,zzzzvzzzzzdzzzzzzzg
763,2,4,x,kxxxxxm
764,2,11,w,gwwzpwwwwwplrqfh
765,6,9,t,qtcttttgf
766,9,12,g,gggggggggggsg
767,3,6,n,fzmnxb
768,5,9,x,pqxxxwdtn
769,5,6,j,jjjjjkq
770,10,12,h,hhhhhdhhhzhh
771,1,4,g,gskgk
772,3,5,c,ccccj
773,1,10,m,wmxsgmzmrzmrmmmjmmct
774,5,10,p,lmpppvptdgpjpwfwpp
775,2,4,z,bzgm
776,6,7,d,ddzdddj
777,3,7,r,gchrfwr
778,4,7,k,kkcvkkkkkk
779,8,12,t,tpwtttctvtttftpt
780,11,12,c,ccccccxcdncbwcc
781,2,10,p,jwwxlppppppnpn
782,9,16,w,chmwwwwwjwrwjwzjww
783,1,6,j,jkqjjbj
784,5,8,k,kkkkkklhkk
785,3,5,q,qqqqc
786,16,17,x,xxxxxxxxxxxxxxxtg
787,4,9,f,fmfkcfffffkcfmfhnzf
788,5,6,z,zhzzlz
789,4,17,k,kbwmwvkkvvhxkkkckqvk
790,3,5,d,dddmmdt
791,4,10,m,mmmmmmmmms
792,5,6,g,ghgggpj
793,1,5,c,cccck
794,3,7,z,zzjzzzzz
795,2,7,v,xrprnvvtsrgsk
796,1,5,s,sqqsn
797,3,5,j,xwpnj
798,5,7,v,vvvvvvqmv
799,4,5,j,jjjjzjjjjljjc
800,2,4,h,hghh
801,3,5,n,fnnpc
802,16,20,d,dddddddzdddddddpdddd
803,3,4,t,tnpt
804,2,7,f,fxffffkff
805,6,9,b,bbbhbbwhbbrblmtb
806,7,10,m,msmxmrnmrmmmm
807,3,4,r,rrzrr
808,7,8,m,mgmmmmjmm
809,2,3,l,lmll
810,2,6,h,cngphhhbfpvvsgrqhhzq
811,6,8,d,dddddddg
812,12,15,p,vfjxwpcpdvpnjwp
813,12,17,m,mzfmmsvfxmqsmcfjmwjb
814,15,19,b,bbbbbfbbbbbsbbmbbbbb
815,7,8,n,qdnjnnnpvmfnn
816,6,8,l,llllllll
817,3,4,n,nnbdh
818,11,12,w,hprdhfrpvcwbgwjcw
819,2,7,r,jrfrbjrhrw
820,1,6,v,fvzknvvv
821,10,11,t,tttstdhttqrttt
822,5,14,f,fxffnffffnfffff
823,10,13,q,qqqqqqqqqjqqqqq
824,1,5,v,tnvfvxvjvbvjk
825,4,5,c,ccccpc
826,4,6,t,tttttktttt
827,1,2,r,rwrsq
828,11,12,c,cccggjcccccr
829,11,16,g,gwggggggggqggbgggfg
830,12,14,b,bbggzhxsjjsbsf
831,5,7,r,kjdwpfbmcptrslrrr
832,1,2,l,lvbl
833,6,11,c,hsksgzhccbccbdfnzqcv
834,6,7,m,gmmmmmc
835,1,2,h,hhhh
836,1,3,g,rggg
837,4,8,z,rzzzzfbwzxkzzz
838,3,6,w,wwwwww
839,3,4,g,ggwtg
840,9,11,v,wxfltmvjvjm
841,2,4,l,llck
842,2,3,m,mmkgpdwzdm
843,2,5,d,bdjhdhjldzh
844,10,12,j,jnjlmjjjjpcdkjjjx
845,3,9,q,qqzqqqqqqqqqq
846,4,8,d,ddzwdpddd
847,3,7,m,mzmbsmcjgmpmmdkmr
848,8,13,q,xrxvgqdvvmjhhgdfz
849,3,12,z,zzjzzzzzzzzzzz
850,5,10,k,jkkkmkkkmkk
851,6,7,m,mmllmmtm
852,17,19,c,ccccccccccccccnckccc
853,6,9,w,wwwtbrwwwxww
854,7,9,d,wfdkwddsdsmdbswv
855,11,12,g,ggggggggggbgg
856,13,14,j,prjjdjjjjjjjcjjj
857,3,5,j,jjlljv
858,3,4,h,hrlh
859,6,7,l,hplnxlsjnwxzllllljcj
860,4,5,g,gfgml
861,4,5,z,zwkznzn
862,4,11,n,stnzhznnfnqcnn
863,2,5,h,hmzhh
864,4,6,w,wwbwwc
865,4,11,w,vmwwrxpkwcp
866,4,8,t,thxttstmtbstcvjtlflh
867,6,8,v,hvvkvvhfm
868,16,18,b,tbbbbbbbbbbbbbbbbr
869,8,10,f,fffffffcfl
870,13,15,r,rrrdrrrrrrrrrbr
871,8,14,t,ztstxttttttttwz
872,8,12,j,jgjjjjgjjjjx
873,5,6,m,nmqjdmgfqqmcmmvndztl
874,2,6,v,vwvvvvtv
875,15,16,l,llllllllllllllll
876,3,10,q,qqqqqqqqqxqq
877,8,9,j,rggxhvjjjk
878,1,3,p,pqhp
879,4,11,z,nkjddzczjrzktvnckmg
880,5,12,r,tfrdrswgwnbc
881,8,13,r,rrrrrrrrrrrrrr
882,13,18,x,xxmxvxxxxxxxhrxxxc
883,7,8,z,zzkzzzzw
884,4,8,m,mmmqmmskqlmmgm
885,1,3,w,bmwg
886,1,4,z,vzzzzzwz
887,3,4,d,dqdw
888,2,9,z,hzhqpndtllsw
889,10,13,t,tttttttttttbjb
890,12,14,r,rrrxrrsrrrgfrrr
891,12,19,g,hdxnlgglxwrgzkggcwp
892,3,4,x,qxjx
893,1,2,r,rrpdlqhcnwwr
894,5,11,c,vdbzvccdccldsjcq
895,4,6,k,kxkwkk
896,16,18,k,kkkknkkkkkkkfkkkkx
897,1,2,q,tqtghddbk
898,7,8,g,ggcgggvgg
899,13,19,d,ddddddfjdddddfddddd
900,9,15,z,pzhzzzzzqpzzzzzz
901,4,5,l,lclld
902,2,15,r,jrrmtzrxlczbttrcvkn
903,3,5,z,zzzzc
904,15,16,k,kkkckkdjnkkkkkkkkk
905,11,13,m,mmmmmmmmwmmmzm
906,8,13,p,ppdpptppdppxkppppppp
907,1,3,g,gszcmgjg
908,5,11,h,skbchhdbnphpbfl
909,4,7,d,prdjctk
910,15,18,f,ffcffffffffffzdffc
911,7,11,g,npggtwgzgtgzhx
912,12,14,m,mmmmmmmmmmmpmkm
913,10,11,b,bbbbbbbbbbb
914,3,16,k,kgxtvmlgpkptpghkb
915,4,6,m,zcwmzmvqvgmmsxj
916,6,15,m,mzmmccmmlmmrmlnl
917,12,13,x,xxxxxxxxwxxxz
918,4,5,d,mhvdtxfklzdpgdqdpqhd
919,5,10,g,nghgggggggqg
920,7,9,k,kkkkfkkkwk
921,6,7,c,cvcvczncn
922,10,11,t,tttqttttttv
923,18,20,h,hfsqhkwfhttgfhmbghhx
924,6,7,v,vgvvvwz
925,3,4,z,zzzj
926,3,5,d,dhqjnhgldtdzx
927,3,4,b,jbrbbbbbbbblwb
928,12,15,g,gsgfdfksrggqvgggjgt
929,6,11,p,pmppnpqpdppdpppphpf
930,13,14,z,zzzzgzbzzzzzgzz
931,4,12,c,ccjcrvcnwccwctcczcp
932,10,11,c,szcccfccfpcchqs
933,10,14,l,lllllltgjlnlbprlll
934,12,17,z,zhzzzxzpzzzfzzzqznz
935,12,15,l,llllllllmvlvllfll
936,7,12,c,ccccccncccccc
937,1,5,m,mhmmzmm
938,11,17,r,rrzrrwrrsrcrsmdrvrr
939,4,5,w,fwwpwfw
940,7,8,n,nnnnnnnk
941,3,18,n,rxhzsscgbnmzpvbqmzf
942,4,11,k,kkkkkkkkkkkxkkskkkdz
943,10,11,c,cccccccccckcccccc
944,8,15,r,zrrtfrjrrrrrjrrrrrr
945,15,16,h,ghgvlhwgqslhhhhxmp
946,3,5,f,ffffqf
947,3,8,s,bssmfsgspxssgjhsjdv
948,3,5,q,bfdhq
949,4,7,k,qknkkkd
950,6,9,b,bbbtbnfbbb
951,12,14,x,xxxxxxxqxkxvxxwxxcw
952,3,6,c,chfckc
953,3,8,h,kzkhgrffz
954,10,16,f,fffgjfffsvffdzfhfzff
955,1,3,r,rgcr
956,16,17,x,xxxxxdxxxxxxxxxxl
957,6,11,j,rsjcjjcbpchkvfjpml
958,9,10,s,sssqvsssjsss
959,17,18,v,vvvvvvvvvvvvvvvvvv
960,3,5,t,jtmtgtxxhzskzk
961,1,6,t,ttqkvdgs
962,13,16,q,qqqqqqhqqqqqzqqjqq
963,10,11,b,bbbbbvbbbbw
964,6,7,w,sgwmqwgwtbrllf
965,10,11,f,ffffffftffff
966,12,13,w,wwwwwwwwwwwzt
967,18,19,t,ttttttttttttttttttt
968,1,5,h,zghhr
969,1,2,v,dvjnctwvlp
970,1,2,j,jhzkzjh
971,3,6,h,rhhbhhh
972,2,4,d,dddrd
973,17,18,s,ssssssssssssssssns
974,1,8,m,smmmmmmmm
975,2,4,s,dcfsbzwqq
976,11,12,d,vnldqthkptgkkfdmtw
977,8,12,p,vpppzpprppppp
978,6,8,q,jqqqsphqjwrqj
979,8,10,k,ktkkkkdkkkk
980,4,12,v,nvvwvvvjzvvvv
981,5,6,z,zzzzzt
982,1,5,w,xwwwwwwww
983,11,14,p,pppfbpppkpftdpkpgpp
984,2,3,v,zrlv
985,2,4,f,fbwff
986,5,6,s,ssssmn
987,11,12,z,zzwztpzpjzhz
988,5,6,c,cccjcc
989,4,6,v,vvvgpvcpwv
990,5,6,j,jnzcpjnzjjcpsjfps
991,12,14,m,tpzwjjgpbbdmgxgphd
992,13,15,n,nznnnncnnnnnnnf
993,8,11,w,qsxwnlhwwxw
994,6,9,t,ltbdttnst
995,10,12,t,hnjdfgrhtgkl
996,2,4,d,dbddddc
997,13,14,g,gggggggbgggmgmgm
998,4,12,r,rrrzrgkrrrrkr
999,14,17,n,nnhnnnnnnnnnnnnnhnn
